dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.943495,63.300978,0.007819,0.781934,39.096715,1954.835744,6.266716
0.020000,0.943217,63.300983,0.008097,0.013904,-38.401530,-3874.912229,6.266741
0.020000,0.942661,63.300992,0.008653,0.027785,0.694087,1954.780823,6.266789
0.020000,1.029862,63.299565,0.095866,4.360620,216.641740,10797.382662,6.266861
0.020000,1.153847,63.297547,0.219867,6.200079,91.972921,-6233.440942,6.266958
0.020000,1.308832,63.295041,0.374872,7.750264,77.509286,-723.181756,6.267078
0.020000,1.494819,63.292059,0.560884,9.300557,77.514652,0.268313,6.267221
0.020000,1.711812,63.288612,0.777903,10.850984,77.521317,0.333257,6.267389
0.020000,1.959812,63.284718,1.025934,12.401564,77.528991,0.383654,6.267579
0.020000,2.238825,63.280393,1.304981,13.952318,77.537736,0.437259,6.267792
0.020000,2.548855,63.275657,1.615046,15.503271,77.547655,0.495982,6.268027
0.020000,2.889905,63.270531,1.956135,17.054445,77.558661,0.550307,6.268285
0.020000,3.261982,63.265038,2.328252,18.605858,77.570686,0.601220,6.268564
0.020000,3.665090,63.259205,2.731403,20.157537,77.583909,0.661172,6.268865
0.020000,4.099237,63.253057,3.165593,21.709500,77.598161,0.712565,6.269186
0.020000,4.564427,63.246623,3.630828,23.261770,77.613527,0.768332,6.269527
0.020000,5.060670,63.239935,4.127116,24.814372,77.630101,0.828709,6.269888
0.020000,5.587971,63.233023,4.654462,26.367324,77.647595,0.874681,6.270268
0.020000,6.146339,63.225922,5.212875,27.920650,77.666293,0.934912,6.270666
0.020000,6.735782,63.218665,5.802363,29.474373,77.686126,0.991624,6.271082
0.020000,7.356308,63.211288,6.422933,31.028512,77.706965,1.041950,6.271515
0.020000,8.007927,63.203830,7.074595,32.583092,77.728994,1.101474,6.271964
0.020000,8.690649,63.196327,7.757358,34.138133,77.752067,1.153631,6.272428
0.020000,9.404482,63.188820,8.471231,35.693659,77.776280,1.210668,6.272907
0.020000,10.149439,63.181346,9.216225,37.249690,77.801570,1.264489,6.273399
0.020000,10.925528,63.173948,9.992350,38.806250,77.827978,1.320381,6.273905
0.020000,11.732763,63.166665,10.799617,40.363359,77.855489,1.375572,6.274421
