dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.564726,40.304097,0.007819,0.781934,39.096715,1954.835744,6.266716
0.020000,0.565004,40.304093,0.008097,0.013904,-38.401530,-3874.912229,6.266741
0.020000,0.565560,40.304084,0.008653,0.027785,0.694087,1954.780823,6.266789
0.020000,0.654425,40.302630,0.097530,4.443867,220.804066,11005.498978,6.266861
0.020000,0.780626,40.300576,0.223748,6.310869,93.350118,-6372.697427,6.266958
0.020000,0.938374,40.298025,0.381516,7.888423,78.877703,-723.620723,6.267078
0.020000,1.127667,40.294989,0.570834,9.465865,78.872090,-0.280662,6.267221
0.020000,1.348503,40.291482,0.791697,11.043177,78.865583,-0.325356,6.267389
0.020000,1.600878,40.287519,1.044104,12.620334,78.857885,-0.384878,6.267579
0.020000,1.884790,40.283118,1.328050,14.197316,78.849062,-0.441159,6.267792
0.020000,2.200236,40.278299,1.643532,15.774100,78.839217,-0.492260,6.268027
0.020000,2.547210,40.273084,1.990545,17.350665,78.828260,-0.547869,6.268285
0.020000,2.925708,40.267497,2.369085,18.926988,78.816120,-0.606979,6.268564
0.020000,3.335726,40.261563,2.779146,20.503047,78.802982,-0.656928,6.268865
0.020000,3.777258,40.255311,3.220723,22.078821,78.788669,-0.715619,6.269186
0.020000,4.250299,40.248769,3.693808,23.654286,78.773271,-0.769896,6.269527
0.020000,4.754842,40.241968,4.198397,25.229424,78.756881,-0.819521,6.269888
0.020000,5.290880,40.234942,4.734481,26.804208,78.739204,-0.883828,6.270268
0.020000,5.858406,40.227724,5.302053,28.378618,78.720531,-0.933671,6.270666
0.020000,6.457413,40.220349,5.901106,29.952634,78.700788,-0.987126,6.271082
0.020000,7.087893,40.212855,6.531631,31.526231,78.679846,-1.047102,6.271515
0.020000,7.749838,40.205278,7.193618,33.099389,78.657891,-1.097758,6.271964
0.020000,8.443238,40.197658,7.887060,34.672084,78.634773,-1.155926,6.272428
